ECO ID,Ecoregion name,Threshold,Ecoregion baseline,Target (10% above threshold),Threshold exceedance,Difference between baseline and target,Threshold met or exceeded? (Y/N)
258,Northern Thailand-Laos moist deciduous forests,20,26.8,18,6.8,8.8,Yes
259,Northern Triangle subtropical forests,19.6,19.6,17.64,0,1.96,Yes
260,Northern Vietnam lowland rain forests,20,25.4,18,5.4,7.4,Yes
261,Orissa semi-evergreen forests,20,29.3,18,9.3,11.3,Yes
262,Palawan rain forests,20,3.9,18,-16.1,-14.1,No
263,Peninsular Malaysian montane rain forests,20,11,18,-9,-7,No
264,Peninsular Malaysian peat swamp forests,20,NA,18,#VALUE!,#VALUE!,NoA
265,Peninsular Malaysian rain forests,9.7,10.9,8.73,1.2,2.17,Yes
266,Red River freshwater swamp forests,20,32,18,12,14,Yes
268,South China-Vietnam subtropical evergreen forests,20,49.6,18,29.6,31.6,Yes
269,South Taiwan monsoon rain forests,20,23,18,3,5,Yes
270,South Western Ghats moist deciduous forests,20,21.7,18,1.7,3.7,Yes
271,South Western Ghats montane rain forests,20,19.7,18,-0.3,1.7,No
272,Southern Annamites montane rain forests,20,16.6,18,-3.4,-1.4,No
273,Southwest Borneo freshwater swamp forests,20,15.1,18,-4.9,-2.9,No
274,Sri Lanka lowland rain forests,20,3.7,18,-16.3,-14.3,No
275,Sri Lanka montane rain forests,20,3.8,18,-16.2,-14.2,No
276,Sulu Archipelago rain forests,20,3.5,18,-16.5,-14.5,No
277,Sumatran freshwater swamp forests,20,20.6,18,0.6,2.6,Yes
278,Sumatran lowland rain forests,20,20,18,0,2,Yes
279,Sumatran montane rain forests,17.3,19.3,15.57,2,3.73,Yes
280,Sumatran peat swamp forests,20,20.1,18,0.1,2.1,Yes
281,Sundaland heath forests,20,14.2,18,-5.8,-3.8,No
282,Sundarbans freshwater swamp forests,12.2,20.4,10.98,8.2,9.42,Yes
283,Taiwan subtropical evergreen forests,20,24.8,18,4.8,6.8,Yes
284,Tenasserim-South Thailand semi-evergreen rain forests,16.6,12.1,14.94,-4.5,-2.84,No
285,Tonle Sap freshwater swamp forests,20,15.5,18,-4.5,-2.5,No
286,Tonle Sap-Mekong peat swamp forests,15.1,14.3,13.59,-0.8,0.71,No
287,Upper Gangetic Plains moist deciduous forests,20,35,18,15,17,Yes
288,Western Java montane rain forests,20,20.9,18,0.9,2.9,Yes
289,Western Java rain forests,20,20.7,18,0.7,2.7,Yes
290,Central Deccan Plateau dry deciduous forests,20,26.8,18,6.8,8.8,Yes
291,Central Indochina dry forests,19.5,20.7,17.55,1.2,3.15,Yes
292,Chhota-Nagpur dry deciduous forests,20,37.9,18,17.9,19.9,Yes
293,East Deccan dry-evergreen forests,20,22.2,18,2.2,4.2,Yes
294,Irrawaddy dry forests,20,19.1,18,-0.9,1.1,No
295,Khathiar-Gir dry deciduous forests,18.4,22.1,16.56,3.7,5.54,Yes
296,Narmada Valley dry deciduous forests,20,27.2,18,7.2,9.2,Yes
297,North Deccan dry deciduous forests,20,33,18,13,15,Yes
298,South Deccan Plateau dry deciduous forests,20,22.6,18,2.6,4.6,Yes
299,Southeast Indochina dry evergreen forests,20,16.2,18,-3.8,-1.8,No
300,Southern Vietnam lowland dry forests,20,14.4,18,-5.6,-3.6,No
301,Sri Lanka dry-zone dry evergreen forests,3.3,3.6,2.97,0.3,0.63,Yes
302,Himalayan subtropical pine forests,11,18,9.9,7,8.1,Yes
303,Luzon tropical pine forests,20,13.2,18,-6.8,-4.8,No
304,Northeast India-Myanmar pine forests,20,21.4,18,1.4,3.4,Yes
305,Sumatran tropical pine forests,20,NA,18,#VALUE!,#VALUE!,NoA
306,Eastern Himalayan broadleaf forests,12.5,16.7,11.25,4.2,5.45,Yes
307,Northern Triangle temperate forests,12.5,18.6,11.25,6.1,7.35,Yes
308,Western Himalayan broadleaf forests,7.1,18,6.39,10.9,11.61,Yes
309,Eastern Himalayan subalpine conifer forests,7.5,12.5,6.75,5,5.75,Yes
310,Western Himalayan subalpine conifer forests,4.6,10,4.14,5.4,5.86,Yes
311,Terai-Duar savanna and grasslands,15,21,13.5,6,7.5,Yes
312,Rann of Kutch seasonal salt marsh,15,11.1,13.5,-3.9,-2.4,No
314,Aravalli west thorn scrub forests,5,13.7,4.5,8.7,9.2,Yes
315,Deccan thorn scrub forests,5,21.2,4.5,16.2,16.7,Yes
316,Godavari-Krishna mangroves,5,26.1,4.5,21.1,21.6,Yes
317,Indus Valley desert,5,6.6,4.5,1.6,2.1,Yes
318,Thar desert,5,12.4,4.5,7.4,7.9,Yes
319,Indochina mangroves,20,12.2,18,-7.8,-5.8,No
320,Indus River Delta-Arabian Sea mangroves,20,11.2,18,-8.8,-6.8,No
321,Myanmar Coast mangroves,14.1,15.6,12.69,1.5,2.91,Yes
322,Sunda Shelf mangroves,20,11.9,18,-8.1,-6.1,No
323,Sundarbans mangroves,20,14.3,18,-5.7,-3.7,No
