ADM0_NAME,value,metric,flow_name
Senkaku Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Serbia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Seychelles,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Sierra Leone,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Singapore,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Slovakia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Slovenia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Solomon Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Somalia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
South Africa,,cf_mean,Broadleaf_Deciduous_Boreal_dry
South Georgia and the South Sandwich Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
South Sudan,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Spain,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Spratly Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Sri Lanka,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Sudan,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Suriname,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Svalbard and Jan Mayen Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Swaziland,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Sweden,0.028956272663435645,cf_mean,Broadleaf_Deciduous_Boreal_dry
Switzerland,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Syrian Arab Republic,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Taiwan,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Tajikistan,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Thailand,,cf_mean,Broadleaf_Deciduous_Boreal_dry
The former Yugoslav Republic of Macedonia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Timor-Leste,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Togo,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Tokelau,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Tonga,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Trinidad and Tobago,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Tromelin Island,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Tunisia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Turkey,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Turkmenistan,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Turks and Caicos islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Tuvalu,,cf_mean,Broadleaf_Deciduous_Boreal_dry
U.K. of Great Britain and Northern Ireland,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Uganda,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Ukraine,,cf_mean,Broadleaf_Deciduous_Boreal_dry
United Arab Emirates,,cf_mean,Broadleaf_Deciduous_Boreal_dry
United Republic of Tanzania,,cf_mean,Broadleaf_Deciduous_Boreal_dry
United States Virgin Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
United States of America,0.05888081970290906,cf_mean,Broadleaf_Deciduous_Boreal_dry
Uruguay,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Uzbekistan,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Vanuatu,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Venezuela,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Viet Nam,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Wake Island,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Wallis and Futuna,,cf_mean,Broadleaf_Deciduous_Boreal_dry
West Bank,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Western Sahara,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Yemen,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Zambia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Zimbabwe,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Abyei,,cf_median,Broadleaf_Deciduous_Boreal_dry
Afghanistan,,cf_median,Broadleaf_Deciduous_Boreal_dry
Aksai Chin,,cf_median,Broadleaf_Deciduous_Boreal_dry
Albania,,cf_median,Broadleaf_Deciduous_Boreal_dry
Algeria,,cf_median,Broadleaf_Deciduous_Boreal_dry
American Samoa,,cf_median,Broadleaf_Deciduous_Boreal_dry
Andorra,,cf_median,Broadleaf_Deciduous_Boreal_dry
Angola,,cf_median,Broadleaf_Deciduous_Boreal_dry
Anguilla,,cf_median,Broadleaf_Deciduous_Boreal_dry
Antarctica,,cf_median,Broadleaf_Deciduous_Boreal_dry
Antigua and Barbuda,,cf_median,Broadleaf_Deciduous_Boreal_dry
Argentina,,cf_median,Broadleaf_Deciduous_Boreal_dry
Armenia,,cf_median,Broadleaf_Deciduous_Boreal_dry
Aruba,,cf_median,Broadleaf_Deciduous_Boreal_dry
Arunachal Pradesh,,cf_median,Broadleaf_Deciduous_Boreal_dry
Ashmore and Cartier Islands,,cf_median,Broadleaf_Deciduous_Boreal_dry
Australia,,cf_median,Broadleaf_Deciduous_Boreal_dry
Austria,,cf_median,Broadleaf_Deciduous_Boreal_dry
Azerbaijan,,cf_median,Broadleaf_Deciduous_Boreal_dry
Azores Islands,,cf_median,Broadleaf_Deciduous_Boreal_dry
Bahamas,,cf_median,Broadleaf_Deciduous_Boreal_dry
Bahrain,,cf_median,Broadleaf_Deciduous_Boreal_dry
Baker Island,,cf_median,Broadleaf_Deciduous_Boreal_dry
Bangladesh,,cf_median,Broadleaf_Deciduous_Boreal_dry
Barbados,,cf_median,Broadleaf_Deciduous_Boreal_dry
Bassas da India,,cf_median,Broadleaf_Deciduous_Boreal_dry
Belarus,,cf_median,Broadleaf_Deciduous_Boreal_dry
Belgium,,cf_median,Broadleaf_Deciduous_Boreal_dry
Belize,,cf_median,Broadleaf_Deciduous_Boreal_dry
Benin,,cf_median,Broadleaf_Deciduous_Boreal_dry
Bermuda,,cf_median,Broadleaf_Deciduous_Boreal_dry
Bhutan,,cf_median,Broadleaf_Deciduous_Boreal_dry
Bird Island,,cf_median,Broadleaf_Deciduous_Boreal_dry
Bolivia,,cf_median,Broadleaf_Deciduous_Boreal_dry
Bosnia and Herzegovina,,cf_median,Broadleaf_Deciduous_Boreal_dry
Botswana,,cf_median,Broadleaf_Deciduous_Boreal_dry
Bouvet Island,,cf_median,Broadleaf_Deciduous_Boreal_dry
Brazil,,cf_median,Broadleaf_Deciduous_Boreal_dry
British Indian Ocean Territory,,cf_median,Broadleaf_Deciduous_Boreal_dry
British Virgin Islands,,cf_median,Broadleaf_Deciduous_Boreal_dry
Brunei Darussalam,,cf_median,Broadleaf_Deciduous_Boreal_dry
Bulgaria,,cf_median,Broadleaf_Deciduous_Boreal_dry
Burkina Faso,,cf_median,Broadleaf_Deciduous_Boreal_dry
Burundi,,cf_median,Broadleaf_Deciduous_Boreal_dry
Cambodia,,cf_median,Broadleaf_Deciduous_Boreal_dry
Cameroon,,cf_median,Broadleaf_Deciduous_Boreal_dry
Canada,0.010686508940845673,cf_median,Broadleaf_Deciduous_Boreal_dry
Cape Verde,,cf_median,Broadleaf_Deciduous_Boreal_dry
Cayman Islands,,cf_median,Broadleaf_Deciduous_Boreal_dry
Central African Republic,,cf_median,Broadleaf_Deciduous_Boreal_dry
Chad,,cf_median,Broadleaf_Deciduous_Boreal_dry
Chile,0.11227825579050366,cf_median,Broadleaf_Deciduous_Boreal_dry
China,,cf_median,Broadleaf_Deciduous_Boreal_dry
China/India,,cf_median,Broadleaf_Deciduous_Boreal_dry
Christmas Island,,cf_median,Broadleaf_Deciduous_Boreal_dry
Clipperton Island,,cf_median,Broadleaf_Deciduous_Boreal_dry
Cocos (Keeling) Islands,,cf_median,Broadleaf_Deciduous_Boreal_dry
Colombia,,cf_median,Broadleaf_Deciduous_Boreal_dry
Comoros,,cf_median,Broadleaf_Deciduous_Boreal_dry
Congo,,cf_median,Broadleaf_Deciduous_Boreal_dry
Cook Islands,,cf_median,Broadleaf_Deciduous_Boreal_dry
Costa Rica,,cf_median,Broadleaf_Deciduous_Boreal_dry
Croatia,,cf_median,Broadleaf_Deciduous_Boreal_dry
Cuba,,cf_median,Broadleaf_Deciduous_Boreal_dry
Cyprus,,cf_median,Broadleaf_Deciduous_Boreal_dry
Czech Republic,,cf_median,Broadleaf_Deciduous_Boreal_dry
Côte d'Ivoire,,cf_median,Broadleaf_Deciduous_Boreal_dry
Dem People's Rep of Korea,,cf_median,Broadleaf_Deciduous_Boreal_dry
Democratic Republic of the Congo,,cf_median,Broadleaf_Deciduous_Boreal_dry
Denmark,,cf_median,Broadleaf_Deciduous_Boreal_dry
Djibouti,,cf_median,Broadleaf_Deciduous_Boreal_dry
Dominica,,cf_median,Broadleaf_Deciduous_Boreal_dry
Dominican Republic,,cf_median,Broadleaf_Deciduous_Boreal_dry
Ecuador,,cf_median,Broadleaf_Deciduous_Boreal_dry
Egypt,,cf_median,Broadleaf_Deciduous_Boreal_dry
El Salvador,,cf_median,Broadleaf_Deciduous_Boreal_dry
Equatorial Guinea,,cf_median,Broadleaf_Deciduous_Boreal_dry
Eritrea,,cf_median,Broadleaf_Deciduous_Boreal_dry
Estonia,,cf_median,Broadleaf_Deciduous_Boreal_dry
Ethiopia,,cf_median,Broadleaf_Deciduous_Boreal_dry
Europa Island,,cf_median,Broadleaf_Deciduous_Boreal_dry
Falkland Islands (Malvinas),,cf_median,Broadleaf_Deciduous_Boreal_dry
Faroe Islands,,cf_median,Broadleaf_Deciduous_Boreal_dry
